Date,Groupe,Passage,Clarté de la définition,Pertinence de l’exemple choisi, Lisibilité du pseudo code,Qualité du support,Qualité du discours oral,Motivation de la stratégie,Remarque libre
02/02/2021 14:10:00,6,1,5,6,6,5,6,6,
02/02/2021 14:10:04,6,1,4,5,4,5,4,5,
02/02/2021 14:10:08,6,1,1,1,1,1,1,1,
02/02/2021 14:10:14,6,1,5,6,5,4,5,5,
02/02/2021 14:10:15,6,1,4,4,6,2,5,3,Super claire et efficace.Bien joué Mathilde.
02/02/2021 14:10:19,6,1,4,4,3,3,3,3,
02/02/2021 14:10:23,6,1,4,4,4,5,4,4,
02/02/2021 14:10:25,6,1,6,6,6,6,6,6,
02/02/2021 14:10:25,6,1,5,5,5,5,5,5,
02/02/2021 14:10:28,6,1,6,6,6,6,6,6,
02/02/2021 14:10:28,6,1,6,6,6,6,6,6,
02/02/2021 14:10:29,6,1,6,5,6,6,5,6,
02/02/2021 14:10:34,6,1,4,5,3,4,4,4,
02/02/2021 14:10:35,6,1,6,6,6,6,6,6,
02/02/2021 14:10:37,6,1,3,3,3,3,3,3,
02/02/2021 14:10:40,6,1,4,5,4,3,4,4,
02/02/2021 14:10:47,6,1,6,6,6,6,6,6,
02/02/2021 14:10:50,6,1,6,5,5,6,4,4,"Un peu de mal dans le discours oral, mais bel effort
Exemple parlant et stratégie bien expliquée"
02/02/2021 14:10:53,6,1,4,4,4,4,4,4,
02/02/2021 14:10:54,6,1,5,5,5,5,5,5,
02/02/2021 14:11:13,6,1,5,5,4,5,5,4,
02/02/2021 14:11:17,6,1,4,5,2,5,4,2,
02/02/2021 14:11:59,6,1,1,1,1,1,1,1,
02/02/2021 14:13:51,6,1,6,6,6,6,6,6,
02/02/2021 14:15:24,6,1,6,6,5,6,6,4,
02/02/2021 14:30:22,6,1,5,5,6,5,6,6,
02/02/2021 14:55:05,6,1,3,4,5,4,3,4,
02/02/2021 14:10:55,7,1,1,1,1,1,1,1,
02/02/2021 14:11:49,7,1,6,6,6,6,6,6,
02/02/2021 14:11:56,7,1,6,6,6,6,6,6,
02/02/2021 14:12:59,7,1,6,6,6,6,6,6,
02/02/2021 14:13:08,7,1,4,6,5,3,3,4,
02/02/2021 14:13:17,7,1,6,6,6,6,6,6,
02/02/2021 14:13:20,7,1,6,6,6,6,6,6,
02/02/2021 14:13:21,7,1,5,6,6,5,6,4,
02/02/2021 14:13:22,7,1,6,6,6,6,6,6,
02/02/2021 14:13:23,7,1,6,6,6,6,6,6,Cette personne respire l'intelligence. La stratégie est terriblement efficace. 20/20
02/02/2021 14:13:32,7,1,5,5,5,5,5,5,
02/02/2021 14:13:34,7,1,6,6,6,6,6,6,
02/02/2021 14:13:39,7,1,4,4,5,4,4,3,
02/02/2021 14:13:39,7,1,4,6,6,4,5,4,
02/02/2021 14:13:45,7,1,6,6,6,6,6,6,
02/02/2021 14:13:45,7,1,6,6,6,6,6,6,
02/02/2021 14:13:46,7,1,6,6,6,6,6,6,"C'est impec , c'est beau , on aime "
02/02/2021 14:13:51,7,1,6,6,6,6,6,6,
02/02/2021 14:13:51,7,1,6,6,6,6,6,6,
02/02/2021 14:13:54,7,1,6,6,5,5,6,5,
02/02/2021 14:13:54,7,1,5,6,5,6,6,5,
02/02/2021 14:13:59,7,1,6,6,6,6,6,6,
02/02/2021 14:14:01,7,1,6,6,6,6,6,6,"Bon exemple.
Belle présentation.
De plus, comblons les ""1"" qui apparaissent avant même que la présentation ne commence."
02/02/2021 14:14:04,7,1,6,6,6,6,6,6,
02/02/2021 14:14:06,7,1,6,6,6,6,6,6,
02/02/2021 14:14:06,7,1,4,4,5,4,4,4,
02/02/2021 14:14:07,7,1,5,5,5,3,5,5,
02/02/2021 14:14:08,7,1,6,6,6,6,6,6,
02/02/2021 14:14:14,7,1,5,6,4,5,5,5,
02/02/2021 14:15:09,7,1,6,6,6,6,6,6,
02/02/2021 14:16:19,7,1,6,6,6,6,6,6,"nan mais y en a marre qu'il soit trop fort (agnagna je suis pas premier de la promo qu'il me sort, vous y croyez ? XD) "
02/02/2021 14:17:49,7,1,6,6,6,6,6,6,
02/02/2021 14:19:25,7,1,5,5,5,5,5,5,
02/02/2021 14:19:38,7,1,6,6,6,6,6,6,
02/02/2021 14:32:39,7,1,5,5,6,5,6,6,
02/02/2021 14:55:41,7,1,3,4,5,4,3,3,
02/02/2021 14:15:31,8,1,5,2,1,2,3,3,
02/02/2021 14:17:16,8,1,3,3,3,3,3,3,
02/02/2021 14:17:35,8,1,3,3,3,3,3,3,
02/02/2021 14:17:56,8,1,5,4,5,3,4,5,
02/02/2021 14:18:08,8,1,6,6,6,6,6,6,"Belle passdé à Yasmina , mouvement propre"
02/02/2021 14:19:04,8,1,4,6,5,5,5,5,
02/02/2021 14:19:06,8,1,6,6,5,5,6,5,"Quelle voix, quel homme, quelle présentation <3"
02/02/2021 14:19:10,8,1,6,6,6,5,6,6,
02/02/2021 14:19:11,8,1,6,6,4,5,6,3,
02/02/2021 14:19:11,8,1,6,6,6,5,6,6,
02/02/2021 14:19:15,8,1,6,6,6,6,6,6,"Clair, net et précis. Good Job Melvinou"
02/02/2021 14:19:34,8,1,6,6,6,6,6,6,C fou se mek é trau for pour nous !!! un zénie deux son si aicle ... si gné leu brau
02/02/2021 14:19:34,8,1,4,4,5,5,4,5,
02/02/2021 14:19:35,8,1,5,6,5,5,5,5,
02/02/2021 14:19:37,8,1,5,4,5,5,4,4,
02/02/2021 14:19:41,8,1,6,6,6,6,6,6,
02/02/2021 14:19:47,8,1,5,5,5,5,5,5,niquel bro ;)
02/02/2021 14:19:50,8,1,4,4,4,5,5,4,
02/02/2021 14:19:56,8,1,6,6,6,6,6,6,
02/02/2021 14:19:57,8,1,6,6,6,6,6,6,"Très clair et très compréhensible, Melvin président !!"
02/02/2021 14:19:57,8,1,4,3,2,2,3,2,
02/02/2021 14:20:00,8,1,4,3,4,4,4,3,
02/02/2021 14:20:00,8,1,6,6,6,6,6,6,
02/02/2021 14:20:01,8,1,3,3,3,3,3,3,
02/02/2021 14:20:13,8,1,6,6,6,6,6,6,
02/02/2021 14:20:54,8,1,6,6,6,6,6,6,Excellent.
02/02/2021 14:21:26,8,1,4,6,4,4,5,5,
02/02/2021 14:21:27,8,1,6,5,5,6,6,5,
02/02/2021 14:22:23,8,1,5,5,6,6,6,5,
02/02/2021 14:33:22,8,1,6,6,5,6,5,6,
02/02/2021 14:56:12,8,1,6,5,4,3,2,1,
02/02/2021 15:03:37,8,1,6,6,6,6,6,6,
02/02/2021 14:20:53,9,1,6,6,6,6,6,6,
02/02/2021 14:21:07,9,1,5,5,5,5,5,5,
